API,Error
paddle_amp_decorate.py,"C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\fluid\dygraph\amp\auto_cast.py:303: UserWarning: amp_guard can only be enabled on CUDAPlace, XPUPlace, MLUPlace, NPUPlace, and CustomPlace, current place is Place(cpu), so it makes no effect.
  warnings.warn(
Traceback (most recent call last):
  File ""C:\Users\vatsa\OneDrive\Desktop\FreeFuzz\Scrape\api_documentation_code\paddle_amp_decorate.py"", line 13, in <module>
    output = model(data)
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\fluid\dygraph\layers.py"", line 1012, in __call__
    return self.forward(*inputs, **kwargs)
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\nn\layer\conv.py"", line 712, in forward
    out = F.conv._conv_nd(
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\nn\functional\conv.py"", line 140, in _conv_nd
    pre_bias = _C_ops.conv2d(
RuntimeError: (NotFound) The kernel with key (CPU, NCHW, float16) of kernel `conv2d` is not registered.
  [Hint: Expected kernel_iter == iter->second.end() && kernel_key.backend() == Backend::CPU != true, but received kernel_iter == iter->second.end() && kernel_key.backend() == Backend::CPU:1 == true:1.] (at ..\paddle\phi\core\kernel_factory.cc:147)

"
paddle_CUDAPinnedPlace.py,"Traceback (most recent call last):
  File ""C:\Users\vatsa\OneDrive\Desktop\FreeFuzz\Scrape\api_documentation_code\paddle_CUDAPinnedPlace.py"", line 2, in <module>
    place = paddle.CUDAPinnedPlace()
RuntimeError: (PermissionDenied) Cannot use CUDAPinnedPlace in CPU only version, Please recompile or reinstall Paddle with CUDA support. (at ..\paddle\fluid\pybind\place.cc:531)

"
paddle_CUDAPlace.py,"E0330 18:06:36.202889 28436 place.cc:359] Cannot use GPU because you have installed CPU version PaddlePaddle.
If you want to use GPU, please try to install GPU version PaddlePaddle by: pip install paddlepaddle-gpu
If you only have CPU, please change CUDAPlace(0) to be CPUPlace().
"
paddle_DataParallel.py,"C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\distributed\parallel.py:173: UserWarning: Currently not a parallel execution environment, `paddle.distributed.init_parallel_env` will not do anything.
  warnings.warn(
C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\fluid\dygraph\parallel.py:655: UserWarning: The program will return to single-card operation. Please check 1, whether you use spawn or fleetrun to start the program. 2, Whether it is a multi-card program. 3, Is the current environment multi-card.
  warnings.warn(""The program will return to single-card operation. ""
Traceback (most recent call last):
  File ""C:\Users\vatsa\OneDrive\Desktop\FreeFuzz\Scrape\api_documentation_code\paddle_DataParallel.py"", line 49, in <module>
    fused_allreduce_gradients(list(model.parameters()), None)
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\distributed\fleet\utils\hybrid_parallel_util.py"", line 206, in fused_allreduce_gradients
    fused_allreduce_gradients_with_group(parameter_list, data_parallel_group)
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\distributed\fleet\utils\hybrid_parallel_util.py"", line 200, in fused_allreduce_gradients_with_group
    apply_func(parameter_list, group, bucket_size, scale)
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\distributed\fleet\utils\hybrid_parallel_util.py"", line 105, in _apply_collective_grads_eager
    paddle.distributed.all_reduce(coalesced_grad, group=comm_group)
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\distributed\communication\all_reduce.py"", line 61, in all_reduce
    return stream.all_reduce(tensor,
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\distributed\communication\stream\all_reduce.py"", line 112, in all_reduce
    return _all_reduce_in_dygraph(tensor, op, group, sync_op,
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\distributed\communication\stream\all_reduce.py"", line 25, in _all_reduce_in_dygraph
    group = _get_global_group() if group is None else group
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\distributed\communication\group.py"", line 86, in _get_global_group
    raise RuntimeError(""The global group is not initialized."")
RuntimeError: The global group is not initialized.
"
paddle_device_cuda_current_stream.py,"Traceback (most recent call last):
  File ""C:\Users\vatsa\OneDrive\Desktop\FreeFuzz\Scrape\api_documentation_code\paddle_device_cuda_current_stream.py"", line 4, in <module>
    s1 = paddle.device.cuda.current_stream()
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\device\cuda\__init__.py"", line 75, in current_stream
    return core._get_current_stream(device_id)
RuntimeError: (Unavailable) Paddle is not compiled with CUDA. Cannot visit device synchronize. (at ..\paddle\fluid\pybind\cuda_streams_py.cc:59)

"
paddle_device_cuda_empty_cache.py,"Traceback (most recent call last):
  File ""C:\Users\vatsa\OneDrive\Desktop\FreeFuzz\Scrape\api_documentation_code\paddle_device_cuda_empty_cache.py"", line 4, in <module>
    paddle.set_device(""gpu"")
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\device\__init__.py"", line 316, in set_device
    place = _convert_to_place(device)
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\device\__init__.py"", line 202, in _convert_to_place
    raise ValueError(""The device should not be 'gpu', ""
ValueError: The device should not be 'gpu', since PaddlePaddle is not compiled with CUDA
"
paddle_device_cuda_get_device_capability.py,"Traceback (most recent call last):
  File ""C:\Users\vatsa\OneDrive\Desktop\FreeFuzz\Scrape\api_documentation_code\paddle_device_cuda_get_device_capability.py"", line 5, in <module>
    paddle.device.cuda.get_device_capability()
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\device\cuda\__init__.py"", line 517, in get_device_capability
    prop = get_device_properties(device)
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\device\cuda\__init__.py"", line 431, in get_device_properties
    raise ValueError(
ValueError: The API paddle.device.cuda.get_device_properties is not supported in CPU-only PaddlePaddle. Please reinstall PaddlePaddle with GPU support to call this API.
"
paddle_device_cuda_get_device_name.py,"Traceback (most recent call last):
  File ""C:\Users\vatsa\OneDrive\Desktop\FreeFuzz\Scrape\api_documentation_code\paddle_device_cuda_get_device_name.py"", line 5, in <module>
    paddle.device.cuda.get_device_name()
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\device\cuda\__init__.py"", line 489, in get_device_name
    return get_device_properties(device).name
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\device\cuda\__init__.py"", line 431, in get_device_properties
    raise ValueError(
ValueError: The API paddle.device.cuda.get_device_properties is not supported in CPU-only PaddlePaddle. Please reinstall PaddlePaddle with GPU support to call this API.
"
paddle_device_cuda_get_device_properties.py,"Traceback (most recent call last):
  File ""C:\Users\vatsa\OneDrive\Desktop\FreeFuzz\Scrape\api_documentation_code\paddle_device_cuda_get_device_properties.py"", line 4, in <module>
    paddle.device.cuda.get_device_properties()
  File ""C:\Users\vatsa\AppData\Local\Programs\Python\Python39\lib\site-packages\paddle\device\cuda\__init__.py"", line 431, in get_device_properties
    raise ValueError(
ValueError: The API paddle.device.cuda.get_device_properties is not supported in CPU-only PaddlePaddle. Please reinstall PaddlePaddle with GPU support to call this API.
"
paddle_device_cuda_max_memory_allocated.py,"E0330 18:07:00.239320 29084 place.cc:359] Cannot use GPU because you have installed CPU version PaddlePaddle.
If you want to use GPU, please try to install GPU version PaddlePaddle by: pip install paddlepaddle-gpu
If you only have CPU, please change CUDAPlace(0) to be CPUPlace().
"
